"Key","Clicks","Impressions","CTR","Position"
"https://attilakrick.com/artikel/ki_vscode_github_copilot_agent_powershell_nutzen/","1","95","0,010526315789473684","6,747368421052632"
"https://attilakrick.com/leistung/sql-performance-tuning/","0","65","0","27"
"https://attilakrick.com/artikel/ki_mcp_sql_server_db_abfrage/","2","59","0,03389830508474576","7,186440677966102"
"https://attilakrick.com/leistung/sql-server-beratung/","0","33","0","26,060606060606062"
"https://attilakrick.com/artikel/neuerungen_powershell_75/","0","18","0","7,055555555555555"
"https://attilakrick.com/categories/powershell/","0","17","0","12,647058823529411"
"https://attilakrick.com/leistung/","0","11","0","15,272727272727273"
"https://attilakrick.com/leistung/dotnet-code-review/","0","11","0","9,636363636363637"
"https://attilakrick.com/artikel/","0","10","0","5,1"
"https://attilakrick.com/artikel/powershell_sicher_einsetzen/","0","10","0","8,4"
"https://attilakrick.com/","0","7","0","1,5714285714285714"
"https://attilakrick.com/categories/powershell/page/3/","0","1","0","8"
"https://attilakrick.com/leistung/dotnet-beratung/","0","1","0","35"
"https://attilakrick.com/leistung/tsql-workshop/","0","1","0","19"
"https://attilakrick.com/leistung/wpf-refactoring-beratung/","0","1","0","10"
